timestamp,road,distance_meters,duration_free_sec,duration_traffic_sec,volume_index
2025-09-11 05:28:32,West,1092,143,99,0.69
2025-09-11 05:28:32,West,1668,273,221,0.81
2025-09-11 05:28:32,South,1478,234,208,0.89
2025-09-11 05:28:32,South,1248,231,223,0.97
2025-09-11 05:28:32,East,1278,183,197,1.08
2025-09-11 05:28:32,East,736,126,102,0.81
2025-09-11 05:28:32,North,962,121,102,0.84
2025-09-11 05:28:32,North,776,95,106,1.12
2025-09-11 05:33:42,West,1092,143,100,0.7
2025-09-11 05:33:42,West,1668,273,229,0.84
2025-09-11 05:33:42,South,1478,234,208,0.89
2025-09-11 05:33:42,South,1248,231,220,0.95
2025-09-11 05:33:42,East,1278,183,198,1.08
2025-09-11 05:33:42,East,736,126,103,0.82
2025-09-11 05:33:42,North,962,121,110,0.91
2025-09-11 05:33:42,North,776,95,92,0.97
2025-09-11 05:38:48,West,1092,143,101,0.71
2025-09-11 05:38:48,West,1668,273,236,0.86
2025-09-11 05:38:48,South,1478,234,206,0.88
2025-09-11 05:38:48,South,1248,231,220,0.95
2025-09-11 05:38:48,East,1278,183,189,1.03
2025-09-11 05:38:48,East,736,126,102,0.81
2025-09-11 05:38:48,North,962,121,118,0.98
2025-09-11 05:38:48,North,776,95,90,0.95
2025-09-11 05:43:53,West,1092,143,105,0.73
2025-09-11 05:43:53,West,1668,273,244,0.89
2025-09-11 05:43:53,South,1478,234,210,0.9
2025-09-11 05:43:53,South,1248,231,234,1.01
2025-09-11 05:43:53,East,1278,183,187,1.02
2025-09-11 05:43:53,East,736,126,108,0.86
2025-09-11 05:43:53,North,962,121,104,0.86
2025-09-11 05:43:53,North,776,95,90,0.95
2025-09-11 05:48:59,West,1092,143,108,0.76
2025-09-11 05:48:59,West,1668,273,246,0.9
2025-09-11 05:48:59,South,1478,234,212,0.91
2025-09-11 05:48:59,South,1248,231,220,0.95
2025-09-11 05:48:59,East,1278,183,189,1.03
2025-09-11 05:48:59,East,736,126,105,0.83
2025-09-11 05:48:59,North,962,121,98,0.81
2025-09-11 05:48:59,North,776,95,90,0.95
2025-09-11 05:54:05,West,1092,143,109,0.76
2025-09-11 05:54:05,West,1668,273,246,0.9
2025-09-11 05:54:05,South,1478,234,213,0.91
2025-09-11 05:54:05,South,1248,231,223,0.97
2025-09-11 05:54:05,East,1278,183,183,1.0
2025-09-11 05:54:05,East,736,126,110,0.87
2025-09-11 05:54:05,North,962,121,102,0.84
2025-09-11 05:54:05,North,776,95,88,0.93
2025-09-11 05:59:11,West,1092,143,114,0.8
2025-09-11 05:59:11,West,1668,273,256,0.94
2025-09-11 05:59:11,South,1478,234,214,0.91
2025-09-11 05:59:11,South,1248,231,220,0.95
2025-09-11 05:59:11,East,1278,183,182,0.99
2025-09-11 05:59:11,East,736,126,112,0.89
2025-09-11 05:59:11,North,962,121,102,0.84
2025-09-11 05:59:11,North,776,95,89,0.94
2025-09-11 06:04:17,West,1092,143,109,0.76
2025-09-11 06:04:17,West,1668,273,265,0.97
2025-09-11 06:04:17,South,1478,234,217,0.93
2025-09-11 06:04:17,South,1248,231,225,0.97
2025-09-11 06:04:17,East,1278,183,188,1.03
2025-09-11 06:04:17,East,736,126,108,0.86
2025-09-11 06:04:17,North,962,121,99,0.82
2025-09-11 06:04:17,North,776,95,87,0.92
2025-09-11 06:09:23,West,1092,143,113,0.79
2025-09-11 06:09:23,West,1668,273,255,0.93
2025-09-11 06:09:23,South,1478,234,214,0.91
2025-09-11 06:09:23,South,1248,231,212,0.92
2025-09-11 06:09:23,East,1278,183,184,1.01
2025-09-11 06:09:23,East,736,126,116,0.92
2025-09-11 06:09:23,North,962,121,103,0.85
2025-09-11 06:09:23,North,776,95,84,0.88
2025-09-11 06:14:30,West,1092,143,117,0.82
2025-09-11 06:14:30,West,1668,273,275,1.01
2025-09-11 06:14:30,South,1478,234,221,0.94
2025-09-11 06:14:30,South,1248,231,231,1.0
2025-09-11 06:14:30,East,1278,183,184,1.01
2025-09-11 06:14:30,East,736,126,114,0.9
2025-09-11 06:14:30,North,962,121,105,0.87
2025-09-11 06:14:30,North,776,95,84,0.88
2025-09-11 06:19:39,West,1092,143,119,0.83
2025-09-11 06:19:39,West,1668,273,275,1.01
2025-09-11 06:19:39,South,1478,234,222,0.95
2025-09-11 06:19:39,South,1248,231,231,1.0
2025-09-11 06:19:39,East,1278,183,181,0.99
2025-09-11 06:19:39,East,736,126,125,0.99
2025-09-11 06:19:39,North,962,121,102,0.84
2025-09-11 06:19:39,North,776,95,90,0.95
2025-09-11 06:24:45,West,1092,143,133,0.93
2025-09-11 06:24:45,West,1668,273,271,0.99
2025-09-11 06:24:45,South,1478,234,221,0.94
2025-09-11 06:24:45,South,1248,231,236,1.02
2025-09-11 06:24:45,East,1278,183,175,0.96
2025-09-11 06:24:45,East,736,126,129,1.02
2025-09-11 06:24:45,North,962,121,103,0.85
2025-09-11 06:24:45,North,776,95,86,0.91
